2024-05-29 13:55:30,898 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Configure stats pid to 49139
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Loading settings from /Users/annavisman/.config/wandb/settings
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Loading settings from /Users/annavisman/stack/RUG/CS/Year3/thesis/thesis-llm-privacy/wandb/settings
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'evaluation.py', 'program_abspath': '/Users/annavisman/stack/RUG/CS/Year3/thesis/thesis-llm-privacy/evaluation.py', 'program': '/Users/annavisman/stack/RUG/CS/Year3/thesis/thesis-llm-privacy/evaluation.py'}
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:_log_setup():520] Logging user logs to /Users/annavisman/stack/RUG/CS/Year3/thesis/thesis-llm-privacy/wandb/run-20240529_135530-phgonu23/logs/debug.log
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/annavisman/stack/RUG/CS/Year3/thesis/thesis-llm-privacy/wandb/run-20240529_135530-phgonu23/logs/debug-internal.log
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:init():560] calling init triggers
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'experiment_name': 'test', 'dataset': 'nl-en', 'language': 'nl', 'token_len': 200, 'prefix_len': 50, 'num_trials': 7}
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:init():610] starting backend
2024-05-29 13:55:30,899 INFO    MainThread:49139 [wandb_init.py:init():614] setting up manager
2024-05-29 13:55:30,901 INFO    MainThread:49139 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-29 13:55:30,903 INFO    MainThread:49139 [wandb_init.py:init():622] backend started and connected
2024-05-29 13:55:30,907 INFO    MainThread:49139 [wandb_init.py:init():711] updated telemetry
2024-05-29 13:55:30,928 INFO    MainThread:49139 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-29 13:55:31,314 INFO    MainThread:49139 [wandb_run.py:_on_init():2396] communicating current version
2024-05-29 13:55:31,365 INFO    MainThread:49139 [wandb_run.py:_on_init():2405] got version response 
2024-05-29 13:55:31,365 INFO    MainThread:49139 [wandb_init.py:init():795] starting run threads in backend
2024-05-29 13:55:33,473 INFO    MainThread:49139 [wandb_run.py:_console_start():2374] atexit reg
2024-05-29 13:55:33,473 INFO    MainThread:49139 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-29 13:55:33,473 INFO    MainThread:49139 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-29 13:55:33,473 INFO    MainThread:49139 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-29 13:55:33,474 INFO    MainThread:49139 [wandb_init.py:init():838] run started, returning control to user process
2024-05-29 13:55:36,716 INFO    MainThread:49139 [wandb_run.py:_finish():2103] finishing run annavisman/thesis-llm-privacy/phgonu23
2024-05-29 13:55:36,716 INFO    MainThread:49139 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-29 13:55:36,716 INFO    MainThread:49139 [wandb_run.py:_restore():2326] restore
2024-05-29 13:55:36,716 INFO    MainThread:49139 [wandb_run.py:_restore():2332] restore done
2024-05-29 13:55:44,612 INFO    MainThread:49139 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-29 13:55:44,612 INFO    MainThread:49139 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-29 13:55:44,615 INFO    MainThread:49139 [wandb_run.py:_footer_sync_info():3953] logging synced files
